30133,57633
30166,57100
30233,57583
30250,56850
30250,56950
30250,57583
30300,56966
30316,56816
30400,56466
30400,56783
30433,57433
30466,56550
30483,56516
30500,56450
30500,56666
30550,57866
30566,56883
30600,57683
30616,56900
30633,56166
30683,57033
30683,57516
30716,56600
30733,56733
30733,57316
30750,56750
30783,57783
30833,56750
30866,56366
30900,55516
30916,56300
30933,55483
30933,55550
30950,56650
30966,55550
30966,57533
31000,55683
31000,56250
31016,56566
31033,56600
31033,56883
31083,56016
31083,56516
31083,57016
31083,57516
31083,57600
31083,57833
31100,55666
31100,55983
31100,57016
31116,56466
31166,55750
31166,57000
31166,57083
31183,56283
31183,56933
31200,55750
31200,57233
31216,55666
31216,56316
31233,55633
31233,55883
31233,57116
31250,55333
31250,55950
31250,56833
31250,57166
31250,57200
31283,56433
31300,55866
31300,56016
31300,57066
31300,57100
31300,57133
31300,57150
31300,57200
31300,57700
31316,55200
31333,57800
31333,57833
31333,57883
31350,55383
31350,56633
31350,57783
31350,57800
31350,57983
31366,55083
31366,55666
31366,55850
31383,55866
31383,57966
31400,56366
31400,57783
31416,54916
31416,56683
31433,55233
31450,55416
31450,56383
31466,55166
31466,56833
31483,54833
31500,54716
31500,55166
31500,56033
31500,57116
31516,54966
31516,55766
31516,55966
31516,57533
31516,57583
31533,55583
31533,55833
31533,56050
31550,55550
31550,57950
31566,54550
31583,55466
31583,57616
31600,55850
31600,56750
31616,56816
31633,55000
31633,56916
31650,56833
31666,56166
31666,56633
31666,57916
31683,54650
31683,54766
31683,55433
31683,55950
31683,56133
31683,57683
31700,56100
31716,55333
31733,54416
31733,55983
31750,55016
31750,55466
31750,56066
31766,54800
31766,56016
31766,56250
31783,54333
31783,54750
31783,55150
31783,56250
31800,54716
31800,55333
31800,55700
31800,56133
31816,54666
31816,55183
31816,55216
31816,55500
31816,55916
31816,55966
31833,54166
31833,55766
31833,55933
31833,55983
31833,57250
31850,56000
31866,54200
31866,57283
31883,55433
31883,55966
31883,56000
31883,57333
31883,57483
31883,57516
31900,54150
31900,54783
31900,55133
31900,55466
31900,55883
31916,54733
31916,55933
31916,56016
31916,57250
31916,57716
31950,57883
31966,55050
31966,57516
31983,54166
31983,55683
31983,57416
32000,54133
32000,55483
32000,57166
32000,57300
32000,57583
32016,54200
32016,55066
32016,57333
32016,57466
32033,54183
32033,54566
32033,55666
32033,55783
32050,54633
32050,54866
32050,55383
32066,53766
32066,56350
32083,54250
32083,55650
32083,56866
32083,57916
32100,53750
32100,54866
32100,57416
32100,57816
32116,54066
32116,57566
32150,54200
32150,54883
32150,54950
32150,55050
32150,56116
32166,53750
32166,54116
32166,55016
32166,55950
32183,55033
32183,55283
32183,56066
32200,54066
32200,58000
32216,55600
32216,56016
32233,54983
32233,55733
32233,56500
32250,55750
32250,56516
32250,57300
32266,54916
32266,55900
32283,58050
32300,55333
32321,58075
32333,55883
32333,55966
32333,57050
32333,57800
32333,57933
32333,58133
32350,53833
32350,54133
32350,55833
32350,56550
32350,57200
32366,54183
32366,54766
32366,57850
32366,57983
32383,43500
32383,54666
32383,55066
32383,56683
32383,57500
32383,57600
32400,55350
32400,56716
32400,56900
32416,56166
32416,56333
32416,73830
32416,57583
32416,58150
32433,56350
32450,55033
32450,56033
32466,54316
32466,55233
32466,56166
32483,53516
32483,53716
32483,56350
32483,57750
32500,54016
32500,54416
32500,56033
32516,53483
32516,54533
32516,54583
32516,54683
32516,57750
32533,54566
32533,55500
32533,57133
32566,53416
32566,56883
32566,57366
32566,57483
32583,53383
32600,55583
32616,54600
32616,55833
32616,56483
32633,53300
32633,53900
32633,55116
32633,56350
32633,56750
32650,54250
32650,54450
32666,53616
32666,55450
32683,54633
32683,56880
32683,57633
32683,58133
32700,53966
32716,55600
32716,57466
32750,53483
32750,53733
32750,54400
32750,55650
32750,57750
32766,55433
32766,55633
32766,57783
32766,57883
32783,53833
32783,55900
32800,55800
32800,56416
32800,57050
32816,56516
32833,54766
32833,55483
32833,56183
32833,56433
32833,57716
32850,57683
32866,55916
32866,56466
